;url;Jahr;Laenge;Motor;Liegeplatz;Rumpfmaterial;YW#;Preis_String;Preis;Waehrung;Versteuert;Reserviert;Preis_Updates;Preis_Entwicklung;Preis_Ent_Datum;Datum_Ersterfassung;Datum_Letztes_Update;Alter_Anzeige
1388;https://www.yachtworld.de/Boote/2004/bavaria-32-3815673/;2004;10;einmotorig / diesel;Didim , Türkei;GFK (Fiberglas);76130-3815673;£43,950 Nicht versteuert (EUR51,655);51655,0;euro;Nein;Nein;0;51655.0,;;2021-04-01;;
1389;https://www.yachtworld.de/Boote/2002/bavaria-32-3820733/;2002;10;einmotorig / diesel;LA ROCHELLE, Charente-Maritime, Frankreich;GFK (Fiberglas);80068-3820733;EUR42,000 Versteuert;42000,0;euro;Ja;Nein;0;42000.0,;;2021-04-01;;
1390;https://www.yachtworld.de/Boote/2003/bavaria-32-cruiser-3772508/;2003;10;einmotorig / diesel;Saint Michaels, MD;GFK (Fiberglas);6944-3772508;US$65,000 (EUR55,428);55428,0;euro;;Nein;0;55428.0,;;2021-04-01;;
1391;https://www.yachtworld.de/Boote/1999/j-boats-j-105-3733626/;1999;10;einmotorig / diesel;Annapolis, MD;GFK (Fiberglas);34384-3733626;US$69,500 (EUR59,265);59265,0;euro;;Nein;0;59265.0,;;2021-04-01;;
1392;https://www.yachtworld.de/Boote/2000/bavaria-34-3750228/;2000;10;einmotorig / diesel;Gosport, Hampshire, Großbritannien;GFK (Fiberglas);82337-3750228;£43,000 (EUR50,539)Reserviert;50539,0;euro;;Ja;0;50539.0,;;2021-04-01;;
1393;https://www.yachtworld.de/Boote/2011/delphia-33-3-3498484/;2011;10;einmotorig / diesel;Valencia, Spanien;GFK (Fiberglas);80704-3498484;EUR52,950;52950,0;euro;;Nein;0;52950.0,;;2021-04-01;;
1394;https://www.yachtworld.de/Boote/1998/jeanneau-sun-odyssey-34-2-3819757/;1998;10;einmotorig / diesel;LA ROCHELLE, Charente-Maritime, Frankreich;GFK (Fiberglas);80068-3819757;EUR42,000 Versteuert;42000,0;euro;Ja;Nein;0;42000.0,;;2021-04-01;;
1395;https://www.yachtworld.de/Boote/1969/nautor-swan-swan-36-2916355/;1969;10;einmotorig / diesel;Pescara, Italien;GFK (Fiberglas);78038-2916355;EUR50,000 Versteuert;50000,0;euro;Ja;Nein;0;50000.0,;;2021-04-01;;
1396;https://www.yachtworld.de/Boote/2010/beneteau-oceanis-34-3594733/;2010;10;einmotorig / diesel;Lefkas, Griechenland;GFK (Fiberglas);81189-3594733;EUR62,000 Nicht versteuert;62000,0;euro;Nein;Nein;0;62000.0,;;2021-04-01;;
1397;https://www.yachtworld.de/Boote/1999/x-yachts-x-332-3728721/;1999;10;einmotorig / diesel;chiavari, Italien;GFK (Fiberglas);79127-3728721;EUR63,000 VersteuertSteht für Personen die in den USA ansässig sind nicht zum Verkauf zur Verfügung solange es sich in US-amerikanischen Gewässern befindet;63000,0;euro;Ja;Nein;0;63000.0,;;2021-04-01;;
